,n_rep,num_qubits,n_gadgets,method,h,s,cx
0,0,127,1,ours,0,0,1
1,0,127,1,qiskit transpile,0,0,1
2,0,127,1,Bravyi et al. (qiskit),0,0,1
3,0,127,1,Ewout van den Berg (stim),2,0,1
4,1,127,1,ours,0,1,0
5,1,127,1,qiskit transpile,0,1,0
6,1,127,1,Bravyi et al. (qiskit),0,1,0
7,1,127,1,Ewout van den Berg (stim),2,1,0
8,2,127,1,ours,0,1,0
9,2,127,1,qiskit transpile,0,1,0
10,2,127,1,Bravyi et al. (qiskit),0,1,0
11,2,127,1,Ewout van den Berg (stim),2,1,0
12,3,127,1,ours,0,0,1
13,3,127,1,qiskit transpile,0,0,1
14,3,127,1,Bravyi et al. (qiskit),0,0,1
15,3,127,1,Ewout van den Berg (stim),2,0,1
16,4,127,1,ours,0,1,0
17,4,127,1,qiskit transpile,0,1,0
18,4,127,1,Bravyi et al. (qiskit),0,1,0
19,4,127,1,Ewout van den Berg (stim),2,1,0
20,5,127,1,ours,0,0,1
21,5,127,1,qiskit transpile,0,0,1
22,5,127,1,Bravyi et al. (qiskit),0,0,1
23,5,127,1,Ewout van den Berg (stim),2,0,1
24,6,127,1,ours,0,1,0
25,6,127,1,qiskit transpile,0,1,0
26,6,127,1,Bravyi et al. (qiskit),0,1,0
27,6,127,1,Ewout van den Berg (stim),2,1,0
28,7,127,1,ours,0,1,0
29,7,127,1,qiskit transpile,0,1,0
30,7,127,1,Bravyi et al. (qiskit),0,1,0
31,7,127,1,Ewout van den Berg (stim),2,1,0
32,8,127,1,ours,0,0,1
33,8,127,1,qiskit transpile,0,0,1
34,8,127,1,Bravyi et al. (qiskit),0,0,1
35,8,127,1,Ewout van den Berg (stim),2,0,1
36,9,127,1,ours,1,0,0
37,9,127,1,qiskit transpile,1,0,0
38,9,127,1,Bravyi et al. (qiskit),1,0,0
39,9,127,1,Ewout van den Berg (stim),3,0,0
40,10,127,1,ours,0,0,1
41,10,127,1,qiskit transpile,0,0,1
42,10,127,1,Bravyi et al. (qiskit),0,0,1
43,10,127,1,Ewout van den Berg (stim),2,0,1
44,11,127,1,ours,0,0,1
45,11,127,1,qiskit transpile,0,0,1
46,11,127,1,Bravyi et al. (qiskit),0,0,1
47,11,127,1,Ewout van den Berg (stim),2,0,1
48,12,127,1,ours,0,1,0
49,12,127,1,qiskit transpile,0,1,0
50,12,127,1,Bravyi et al. (qiskit),0,1,0
51,12,127,1,Ewout van den Berg (stim),2,1,0
52,13,127,1,ours,0,1,0
53,13,127,1,qiskit transpile,0,1,0
54,13,127,1,Bravyi et al. (qiskit),0,1,0
55,13,127,1,Ewout van den Berg (stim),2,1,0
56,14,127,1,ours,1,0,0
57,14,127,1,qiskit transpile,1,0,0
58,14,127,1,Bravyi et al. (qiskit),1,0,0
59,14,127,1,Ewout van den Berg (stim),3,0,0
60,15,127,1,ours,0,0,1
61,15,127,1,qiskit transpile,0,0,1
62,15,127,1,Bravyi et al. (qiskit),0,0,1
63,15,127,1,Ewout van den Berg (stim),2,0,1
64,16,127,1,ours,0,1,0
65,16,127,1,qiskit transpile,0,1,0
66,16,127,1,Bravyi et al. (qiskit),0,1,0
67,16,127,1,Ewout van den Berg (stim),2,1,0
68,17,127,1,ours,0,1,0
69,17,127,1,qiskit transpile,0,1,0
70,17,127,1,Bravyi et al. (qiskit),0,1,0
71,17,127,1,Ewout van den Berg (stim),2,1,0
72,18,127,1,ours,1,0,0
73,18,127,1,qiskit transpile,1,0,0
74,18,127,1,Bravyi et al. (qiskit),1,0,0
75,18,127,1,Ewout van den Berg (stim),3,0,0
76,19,127,1,ours,0,0,1
77,19,127,1,qiskit transpile,0,0,1
78,19,127,1,Bravyi et al. (qiskit),0,0,1
79,19,127,1,Ewout van den Berg (stim),2,0,1
80,0,127,401,ours,669,598,1211
81,0,127,401,qiskit transpile,115,133,153
82,0,127,401,Bravyi et al. (qiskit),257,269,253
83,0,127,401,Ewout van den Berg (stim),357,254,434
84,1,127,401,ours,576,488,971
85,1,127,401,qiskit transpile,122,142,137
86,1,127,401,Bravyi et al. (qiskit),222,242,259
87,1,127,401,Ewout van den Berg (stim),348,259,415
88,2,127,401,ours,668,516,1117
89,2,127,401,qiskit transpile,142,142,117
90,2,127,401,Bravyi et al. (qiskit),214,211,194
91,2,127,401,Ewout van den Berg (stim),279,233,286
92,3,127,401,ours,500,489,907
93,3,127,401,qiskit transpile,125,151,123
94,3,127,401,Bravyi et al. (qiskit),188,216,189
95,3,127,401,Ewout van den Berg (stim),267,224,278
96,4,127,401,ours,681,549,1146
97,4,127,401,qiskit transpile,123,133,145
98,4,127,401,Bravyi et al. (qiskit),285,249,272
99,4,127,401,Ewout van den Berg (stim),407,243,452
100,5,127,401,ours,490,418,765
101,5,127,401,qiskit transpile,133,128,140
102,5,127,401,Bravyi et al. (qiskit),213,214,227
103,5,127,401,Ewout van den Berg (stim),312,228,363
104,6,127,401,ours,582,449,990
105,6,127,401,qiskit transpile,125,139,137
106,6,127,401,Bravyi et al. (qiskit),209,208,219
107,6,127,401,Ewout van den Berg (stim),289,207,322
108,7,127,401,ours,557,469,1011
109,7,127,401,qiskit transpile,125,145,131
110,7,127,401,Bravyi et al. (qiskit),218,250,241
111,7,127,401,Ewout van den Berg (stim),317,220,419
112,8,127,401,ours,485,451,767
113,8,127,401,qiskit transpile,142,143,116
114,8,127,401,Bravyi et al. (qiskit),208,237,163
115,8,127,401,Ewout van den Berg (stim),242,221,216
116,9,127,401,ours,536,468,863
117,9,127,401,qiskit transpile,126,147,128
118,9,127,401,Bravyi et al. (qiskit),221,219,224
119,9,127,401,Ewout van den Berg (stim),234,202,269
120,10,127,401,ours,402,384,725
121,10,127,401,qiskit transpile,148,126,127
122,10,127,401,Bravyi et al. (qiskit),195,206,192
123,10,127,401,Ewout van den Berg (stim),245,218,262
124,11,127,401,ours,448,410,729
125,11,127,401,qiskit transpile,134,136,129
126,11,127,401,Bravyi et al. (qiskit),226,239,219
127,11,127,401,Ewout van den Berg (stim),372,245,439
128,12,127,401,ours,593,500,1090
129,12,127,401,qiskit transpile,129,127,145
130,12,127,401,Bravyi et al. (qiskit),224,213,281
131,12,127,401,Ewout van den Berg (stim),361,241,464
132,13,127,401,ours,521,459,857
133,13,127,401,qiskit transpile,147,137,117
134,13,127,401,Bravyi et al. (qiskit),211,210,179
135,13,127,401,Ewout van den Berg (stim),297,236,259
136,14,127,401,ours,536,507,937
137,14,127,401,qiskit transpile,139,134,128
138,14,127,401,Bravyi et al. (qiskit),204,226,218
139,14,127,401,Ewout van den Berg (stim),281,245,291
140,15,127,401,ours,600,484,1093
141,15,127,401,qiskit transpile,152,118,131
142,15,127,401,Bravyi et al. (qiskit),206,195,227
143,15,127,401,Ewout van den Berg (stim),259,197,334
144,16,127,401,ours,582,460,959
145,16,127,401,qiskit transpile,133,140,128
146,16,127,401,Bravyi et al. (qiskit),206,203,182
147,16,127,401,Ewout van den Berg (stim),250,227,302
148,17,127,401,ours,680,529,1109
149,17,127,401,qiskit transpile,124,141,136
150,17,127,401,Bravyi et al. (qiskit),233,232,259
151,17,127,401,Ewout van den Berg (stim),305,238,359
152,18,127,401,ours,547,441,935
153,18,127,401,qiskit transpile,141,129,131
154,18,127,401,Bravyi et al. (qiskit),243,234,230
155,18,127,401,Ewout van den Berg (stim),334,246,348
156,19,127,401,ours,667,493,1089
157,19,127,401,qiskit transpile,139,120,142
158,19,127,401,Bravyi et al. (qiskit),239,206,254
159,19,127,401,Ewout van den Berg (stim),330,206,395
160,0,127,801,ours,2324,1595,4527
161,0,127,801,qiskit transpile,269,255,277
162,0,127,801,Bravyi et al. (qiskit),726,456,1266
163,0,127,801,Ewout van den Berg (stim),1580,551,2455
164,1,127,801,ours,2084,1446,3965
165,1,127,801,qiskit transpile,286,252,263
166,1,127,801,Bravyi et al. (qiskit),627,409,966
167,1,127,801,Ewout van den Berg (stim),1593,560,2588
168,2,127,801,ours,2618,1697,4966
169,2,127,801,qiskit transpile,274,249,278
170,2,127,801,Bravyi et al. (qiskit),837,510,1328
171,2,127,801,Ewout van den Berg (stim),1826,650,3008
172,3,127,801,ours,2126,1422,4028
173,3,127,801,qiskit transpile,258,286,257
174,3,127,801,Bravyi et al. (qiskit),618,442,948
175,3,127,801,Ewout van den Berg (stim),1848,650,2808
176,4,127,801,ours,2421,1674,4598
177,4,127,801,qiskit transpile,258,260,283
178,4,127,801,Bravyi et al. (qiskit),797,455,1246
179,4,127,801,Ewout van den Berg (stim),1670,636,2764
180,5,127,801,ours,2273,1530,4304
181,5,127,801,qiskit transpile,266,271,264
182,5,127,801,Bravyi et al. (qiskit),606,452,972
183,5,127,801,Ewout van den Berg (stim),1962,804,3521
184,6,127,801,ours,2381,1639,4569
185,6,127,801,qiskit transpile,272,260,269
186,6,127,801,Bravyi et al. (qiskit),654,443,977
187,6,127,801,Ewout van den Berg (stim),1256,518,1913
188,7,127,801,ours,2470,1687,4668
189,7,127,801,qiskit transpile,268,256,277
190,7,127,801,Bravyi et al. (qiskit),774,556,1230
191,7,127,801,Ewout van den Berg (stim),1892,682,2834
192,8,127,801,ours,2235,1485,4259
193,8,127,801,qiskit transpile,263,273,265
194,8,127,801,Bravyi et al. (qiskit),666,520,1100
195,8,127,801,Ewout van den Berg (stim),1697,676,2600
196,9,127,801,ours,2028,1394,3909
197,9,127,801,qiskit transpile,261,272,268
198,9,127,801,Bravyi et al. (qiskit),587,436,887
199,9,127,801,Ewout van den Berg (stim),1818,634,2807
200,10,127,801,ours,2301,1544,4449
201,10,127,801,qiskit transpile,267,264,270
202,10,127,801,Bravyi et al. (qiskit),677,507,1102
203,10,127,801,Ewout van den Berg (stim),1525,631,2446
204,11,127,801,ours,2337,1496,4373
205,11,127,801,qiskit transpile,261,266,274
206,11,127,801,Bravyi et al. (qiskit),861,617,1556
207,11,127,801,Ewout van den Berg (stim),2161,895,3533
208,12,127,801,ours,2379,1683,4630
209,12,127,801,qiskit transpile,271,249,279
210,12,127,801,Bravyi et al. (qiskit),764,482,1129
211,12,127,801,Ewout van den Berg (stim),2173,1033,3773
212,13,127,801,ours,2575,1750,5213
213,13,127,801,qiskit transpile,257,250,294
214,13,127,801,Bravyi et al. (qiskit),744,428,1283
215,13,127,801,Ewout van den Berg (stim),1606,751,2762
216,14,127,801,ours,2347,1537,4463
217,14,127,801,qiskit transpile,283,251,267
218,14,127,801,Bravyi et al. (qiskit),717,441,1082
219,14,127,801,Ewout van den Berg (stim),1471,596,2249
220,15,127,801,ours,2270,1471,4335
221,15,127,801,qiskit transpile,248,295,258
222,15,127,801,Bravyi et al. (qiskit),622,428,946
223,15,127,801,Ewout van den Berg (stim),1434,547,2145
224,16,127,801,ours,2217,1526,4254
225,16,127,801,qiskit transpile,273,271,257
226,16,127,801,Bravyi et al. (qiskit),647,460,1059
227,16,127,801,Ewout van den Berg (stim),1491,574,2427
228,17,127,801,ours,2148,1455,3951
229,17,127,801,qiskit transpile,264,283,254
230,17,127,801,Bravyi et al. (qiskit),665,455,960
231,17,127,801,Ewout van den Berg (stim),1633,614,2479
232,18,127,801,ours,2463,1637,4693
233,18,127,801,qiskit transpile,257,247,297
234,18,127,801,Bravyi et al. (qiskit),822,563,1461
235,18,127,801,Ewout van den Berg (stim),2248,875,3823
236,19,127,801,ours,1914,1279,3603
237,19,127,801,qiskit transpile,293,268,238
238,19,127,801,Bravyi et al. (qiskit),628,446,927
239,19,127,801,Ewout van den Berg (stim),1270,633,2159
240,0,127,1201,ours,4102,2646,7836
241,0,127,1201,qiskit transpile,408,373,416
242,0,127,1201,Bravyi et al. (qiskit),2273,1841,4663
243,0,127,1201,Ewout van den Berg (stim),4666,2416,8358
244,1,127,1201,ours,3600,2445,7206
245,1,127,1201,qiskit transpile,400,405,392
246,1,127,1201,Bravyi et al. (qiskit),2168,1794,4391
247,1,127,1201,Ewout van den Berg (stim),4168,2205,7636
248,2,127,1201,ours,3797,2537,7437
249,2,127,1201,qiskit transpile,381,405,415
250,2,127,1201,Bravyi et al. (qiskit),2196,1696,4490
251,2,127,1201,Ewout van den Berg (stim),4480,2160,7924
252,3,127,1201,ours,3710,2335,7144
253,3,127,1201,qiskit transpile,401,416,384
254,3,127,1201,Bravyi et al. (qiskit),1769,1356,3515
255,3,127,1201,Ewout van den Berg (stim),4236,2112,7463
256,4,127,1201,ours,3867,2520,7492
257,4,127,1201,qiskit transpile,375,420,404
258,4,127,1201,Bravyi et al. (qiskit),1926,1537,3946
259,4,127,1201,Ewout van den Berg (stim),4616,2367,8406
260,5,127,1201,ours,3533,2272,6689
261,5,127,1201,qiskit transpile,417,389,395
262,5,127,1201,Bravyi et al. (qiskit),1903,1405,3873
263,5,127,1201,Ewout van den Berg (stim),4107,1950,7281
264,6,127,1201,ours,3572,2293,6877
265,6,127,1201,qiskit transpile,429,401,367
266,6,127,1201,Bravyi et al. (qiskit),1493,1063,2819
267,6,127,1201,Ewout van den Berg (stim),3196,1486,5660
268,7,127,1201,ours,3725,2400,7092
269,7,127,1201,qiskit transpile,397,400,402
270,7,127,1201,Bravyi et al. (qiskit),1957,1469,3895
271,7,127,1201,Ewout van den Berg (stim),4079,2247,7495
272,8,127,1201,ours,3505,2298,6816
273,8,127,1201,qiskit transpile,415,389,393
274,8,127,1201,Bravyi et al. (qiskit),1676,1223,3272
275,8,127,1201,Ewout van den Berg (stim),4020,1845,7019
276,9,127,1201,ours,3756,2398,7026
277,9,127,1201,qiskit transpile,422,373,406
278,9,127,1201,Bravyi et al. (qiskit),1960,1415,3756
279,9,127,1201,Ewout van den Berg (stim),4232,1849,7405
280,10,127,1201,ours,3371,2202,6645
281,10,127,1201,qiskit transpile,416,396,387
282,10,127,1201,Bravyi et al. (qiskit),1984,1702,4081
283,10,127,1201,Ewout van den Berg (stim),3977,1889,7039
284,11,127,1201,ours,3876,2584,7520
285,11,127,1201,qiskit transpile,384,415,398
286,11,127,1201,Bravyi et al. (qiskit),1880,1319,3623
287,11,127,1201,Ewout van den Berg (stim),3760,1895,6640
288,12,127,1201,ours,3890,2557,7438
289,12,127,1201,qiskit transpile,389,396,416
290,12,127,1201,Bravyi et al. (qiskit),1950,1378,3846
291,12,127,1201,Ewout van den Berg (stim),4815,2389,8745
292,13,127,1201,ours,3941,2530,7481
293,13,127,1201,qiskit transpile,416,402,383
294,13,127,1201,Bravyi et al. (qiskit),1820,1316,3628
295,13,127,1201,Ewout van den Berg (stim),3616,1455,6049
296,14,127,1201,ours,3764,2410,7229
297,14,127,1201,qiskit transpile,400,414,387
298,14,127,1201,Bravyi et al. (qiskit),1715,1240,3351
299,14,127,1201,Ewout van den Berg (stim),4137,1992,7470
300,15,127,1201,ours,3836,2472,7451
301,15,127,1201,qiskit transpile,407,396,396
302,15,127,1201,Bravyi et al. (qiskit),2174,1726,4447
303,15,127,1201,Ewout van den Berg (stim),4530,2197,8046
304,16,127,1201,ours,4059,2726,7977
305,16,127,1201,qiskit transpile,386,385,430
306,16,127,1201,Bravyi et al. (qiskit),2180,1627,4588
307,16,127,1201,Ewout van den Berg (stim),4725,2801,8983
308,17,127,1201,ours,3680,2408,7052
309,17,127,1201,qiskit transpile,398,418,385
310,17,127,1201,Bravyi et al. (qiskit),1625,1199,3298
311,17,127,1201,Ewout van den Berg (stim),3624,1809,6437
312,18,127,1201,ours,3641,2393,6907
313,18,127,1201,qiskit transpile,415,396,386
314,18,127,1201,Bravyi et al. (qiskit),1495,1100,2972
315,18,127,1201,Ewout van den Berg (stim),3899,2102,7189
316,19,127,1201,ours,3694,2438,7011
317,19,127,1201,qiskit transpile,414,404,383
318,19,127,1201,Bravyi et al. (qiskit),1570,1103,3220
319,19,127,1201,Ewout van den Berg (stim),4228,2027,7617
320,0,127,1601,ours,4612,3073,9063
321,0,127,1601,qiskit transpile,552,529,520
322,0,127,1601,Bravyi et al. (qiskit),2992,2573,6244
323,0,127,1601,Ewout van den Berg (stim),5563,3211,10377
324,1,127,1601,ours,4961,3241,9624
325,1,127,1601,qiskit transpile,516,543,542
326,1,127,1601,Bravyi et al. (qiskit),3127,2763,6546
327,1,127,1601,Ewout van den Berg (stim),5833,3654,11039
328,2,127,1601,ours,4444,3052,8863
329,2,127,1601,qiskit transpile,539,534,526
330,2,127,1601,Bravyi et al. (qiskit),2890,2461,6122
331,2,127,1601,Ewout van den Berg (stim),5291,3216,9879
332,3,127,1601,ours,4587,3054,8886
333,3,127,1601,qiskit transpile,553,522,522
334,3,127,1601,Bravyi et al. (qiskit),2874,2412,6041
335,3,127,1601,Ewout van den Berg (stim),5475,3350,10406
336,4,127,1601,ours,4871,3265,9567
337,4,127,1601,qiskit transpile,529,526,546
338,4,127,1601,Bravyi et al. (qiskit),3109,2619,6512
339,4,127,1601,Ewout van den Berg (stim),5701,3424,10760
340,5,127,1601,ours,4987,3271,9498
341,5,127,1601,qiskit transpile,539,504,556
342,5,127,1601,Bravyi et al. (qiskit),3196,2705,6649
343,5,127,1601,Ewout van den Berg (stim),5609,3574,10700
344,6,127,1601,ours,4698,3119,9097
345,6,127,1601,qiskit transpile,540,519,540
346,6,127,1601,Bravyi et al. (qiskit),2763,2327,5889
347,6,127,1601,Ewout van den Berg (stim),5415,3304,10170
348,7,127,1601,ours,4798,3219,9446
349,7,127,1601,qiskit transpile,509,542,548
350,7,127,1601,Bravyi et al. (qiskit),2986,2549,6112
351,7,127,1601,Ewout van den Berg (stim),5643,3491,10904
352,8,127,1601,ours,4775,3066,9246
353,8,127,1601,qiskit transpile,525,509,567
354,8,127,1601,Bravyi et al. (qiskit),3109,2654,6595
355,8,127,1601,Ewout van den Berg (stim),5626,3313,10640
356,9,127,1601,ours,5040,3310,9623
357,9,127,1601,qiskit transpile,524,524,553
358,9,127,1601,Bravyi et al. (qiskit),3231,2946,6992
359,9,127,1601,Ewout van den Berg (stim),5528,3676,10758
360,10,127,1601,ours,4500,2995,8729
361,10,127,1601,qiskit transpile,562,555,482
362,10,127,1601,Bravyi et al. (qiskit),2855,2186,5801
363,10,127,1601,Ewout van den Berg (stim),5391,3213,10507
364,11,127,1601,ours,4544,2909,8791
365,11,127,1601,qiskit transpile,539,552,510
366,11,127,1601,Bravyi et al. (qiskit),2735,2250,5723
367,11,127,1601,Ewout van den Berg (stim),5691,3120,10414
368,12,127,1601,ours,5012,3397,9782
369,12,127,1601,qiskit transpile,501,527,573
370,12,127,1601,Bravyi et al. (qiskit),3294,2973,6958
371,12,127,1601,Ewout van den Berg (stim),6122,3729,11438
372,13,127,1601,ours,4800,3188,9308
373,13,127,1601,qiskit transpile,536,555,510
374,13,127,1601,Bravyi et al. (qiskit),2904,2354,6112
375,13,127,1601,Ewout van den Berg (stim),5260,3176,10023
376,14,127,1601,ours,4769,3258,9298
377,14,127,1601,qiskit transpile,525,537,539
378,14,127,1601,Bravyi et al. (qiskit),2926,2571,6307
379,14,127,1601,Ewout van den Berg (stim),5124,2927,9587
380,15,127,1601,ours,4886,3211,9522
381,15,127,1601,qiskit transpile,519,530,552
382,15,127,1601,Bravyi et al. (qiskit),3041,2616,6445
383,15,127,1601,Ewout van den Berg (stim),5424,3379,10225
384,16,127,1601,ours,4804,3166,9450
385,16,127,1601,qiskit transpile,527,515,555
386,16,127,1601,Bravyi et al. (qiskit),3218,2751,6712
387,16,127,1601,Ewout van den Berg (stim),5644,3257,10510
388,17,127,1601,ours,4632,3016,9004
389,17,127,1601,qiskit transpile,517,564,518
390,17,127,1601,Bravyi et al. (qiskit),2929,2510,6294
391,17,127,1601,Ewout van den Berg (stim),5346,3232,10034
392,18,127,1601,ours,4759,3174,9331
393,18,127,1601,qiskit transpile,505,560,536
394,18,127,1601,Bravyi et al. (qiskit),2908,2588,6322
395,18,127,1601,Ewout van den Berg (stim),5639,3426,10776
396,19,127,1601,ours,4626,3055,8941
397,19,127,1601,qiskit transpile,555,532,512
398,19,127,1601,Bravyi et al. (qiskit),2819,2315,5895
399,19,127,1601,Ewout van den Berg (stim),5571,3221,10397
400,0,127,2001,ours,5178,3489,10561
401,0,127,2001,qiskit transpile,677,653,669
402,0,127,2001,Bravyi et al. (qiskit),3504,3293,7726
403,0,127,2001,Ewout van den Berg (stim),6052,3874,11601
404,1,127,2001,ours,5397,3571,10559
405,1,127,2001,qiskit transpile,652,656,691
406,1,127,2001,Bravyi et al. (qiskit),3681,3416,7818
407,1,127,2001,Ewout van den Berg (stim),6007,3846,11507
408,2,127,2001,ours,5278,3477,10250
409,2,127,2001,qiskit transpile,615,713,671
410,2,127,2001,Bravyi et al. (qiskit),3561,3289,7694
411,2,127,2001,Ewout van den Berg (stim),5995,4024,11696
412,3,127,2001,ours,5364,3540,10432
413,3,127,2001,qiskit transpile,692,660,643
414,3,127,2001,Bravyi et al. (qiskit),3586,3191,7631
415,3,127,2001,Ewout van den Berg (stim),5838,3665,11197
416,4,127,2001,ours,5387,3626,10597
417,4,127,2001,qiskit transpile,673,645,683
418,4,127,2001,Bravyi et al. (qiskit),3664,3333,7787
419,4,127,2001,Ewout van den Berg (stim),6049,4086,11934
420,5,127,2001,ours,5358,3512,10324
421,5,127,2001,qiskit transpile,685,667,647
422,5,127,2001,Bravyi et al. (qiskit),3469,3187,7552
423,5,127,2001,Ewout van den Berg (stim),6002,3876,11577
424,6,127,2001,ours,5414,3564,10708
425,6,127,2001,qiskit transpile,671,675,653
426,6,127,2001,Bravyi et al. (qiskit),3643,3242,7743
427,6,127,2001,Ewout van den Berg (stim),6016,4034,11764
428,7,127,2001,ours,5230,3467,10179
429,7,127,2001,qiskit transpile,696,659,644
430,7,127,2001,Bravyi et al. (qiskit),3463,3201,7454
431,7,127,2001,Ewout van den Berg (stim),5942,3992,11570
432,8,127,2001,ours,5347,3630,10431
433,8,127,2001,qiskit transpile,671,686,644
